id/I,peaktime/F,chan/F,peakamp/F,sumadc/F,view/I,wire/S,index/I,x/F,y/F,z/F,dirx/F,diry/F,dirz/F,p/F
0,1631.72,308,22.3253,392.464,1,C:0 T:0 P:1 W:68,120,31.8362,-0.442293,20.9641,0.0881043,-0.00381594,-0.996104,0
0,1629.84,66,14.0231,231.218,0,C:0 T:0 P:0 W:66,121,31.8766,-0.444045,20.5068,0.0881043,-0.00381594,-0.996104,0
0,1632.36,307,17.0867,307.128,1,C:0 T:0 P:1 W:67,122,31.8766,-0.444046,20.5066,0.0803071,-0.0142318,-0.996669,0
0,1635.11,306,22.6754,404.234,1,C:0 T:0 P:1 W:66,123,31.9137,-0.450614,20.0465,0.0796645,-0.0150893,-0.996708,0
0,1632.14,65,13.2973,215.641,0,C:0 T:0 P:0 W:65,124,31.9142,-0.450712,20.0401,0.0796645,-0.0150893,-0.996708,0
0,1635.82,305,17.339,304.122,1,C:0 T:0 P:1 W:65,125,31.9501,-0.457511,19.591,0.0796645,-0.0150893,-0.996708,0
0,1633.96,64,12.7931,205.309,0,C:0 T:0 P:0 W:64,126,31.9514,-0.457763,19.5743,0.0796645,-0.0150893,-0.996708,0
0,1638.58,304,21.2215,338.911,1,C:0 T:0 P:1 W:64,127,31.9868,-0.46447,19.1313,0.0796645,-0.0150893,-0.996708,0
0,1636.79,63,12.7248,207.103,0,C:0 T:0 P:0 W:63,128,31.9888,-0.464847,19.1064,0.0796645,-0.0150893,-0.996708,0
0,1641.15,303,18.8656,323.496,1,C:0 T:0 P:1 W:63,129,32.0236,-0.471424,18.672,0.0796645,-0.0150893,-0.996708,0
0,1638.49,62,13.3957,221.869,0,C:0 T:0 P:0 W:62,130,32.026,-0.471895,18.6409,0.0796645,-0.0150893,-0.996708,0
0,1643.09,302,17.1932,304.923,1,C:0 T:0 P:1 W:62,131,32.0602,-0.478358,18.214,0.0796645,-0.0150893,-0.996708,0
0,1640.91,61,12.9587,211.227,0,C:0 T:0 P:0 W:61,132,32.0634,-0.478966,18.1738,0.0796645,-0.0150893,-0.996708,0
0,1645.01,301,18.2214,335.378,1,C:0 T:0 P:1 W:61,133,32.0968,-0.485292,17.756,0.0796645,-0.0150893,-0.996708,0
0,1641.99,60,12.7473,204.882,0,C:0 T:0 P:0 W:60,134,32.1005,-0.485994,17.7096,0.0796645,-0.0150893,-0.996708,0
0,1647.63,300,16.6607,317.547,1,C:0 T:0 P:1 W:60,135,32.1335,-0.492247,17.2966,0.0796645,-0.0150893,-0.996708,0
0,1643.61,59,13.3869,214.805,0,C:0 T:0 P:0 W:59,136,32.1377,-0.493039,17.2442,0.0796645,-0.0150893,-0.996708,0
0,1647.47,299,13.9226,280.353,1,C:0 T:0 P:1 W:59,137,32.1698,-0.499117,16.8428,0.0796645,-0.0150893,-0.996708,0
